,const_range,g_stmt_len,const_len,wiki_stmt_len,wiki_len
0,ccrdfconst_1-20.ttl,260,12,84,2
1,ccrdfconst_21-40.ttl,275,17,68,2
2,ccrdfconst_41-60.ttl,277,18,0,0
3,ccrdfconst_61-80.ttl,245,11,128,5
4,ccrdfconst_81-100.ttl,385,17,103,2
5,ccrdfconst_101-120.ttl,384,19,121,2
6,ccrdfconst_121-140.ttl,288,18,102,3
7,ccrdfconst_141-160.ttl,312,16,167,6
8,ccrdfconst_161-180.ttl,321,16,98,2
9,ccrdfconst_181-200.ttl,343,18,85,1
10,ccrdfconst_201-220.ttl,407,20,125,2
11,ccrdfconst_221-240.ttl,278,17,0,0
12,ccrdfconst_241-260.ttl,305,19,50,1
13,ccrdfconst_261-280.ttl,403,17,142,3
14,ccrdfconst_281-300.ttl,360,19,146,3
15,ccrdfconst_301-320.ttl,291,19,79,2
16,ccrdfconst_321-340.ttl,274,16,107,3
17,ccrdfconst_341-360.ttl,260,13,86,2
18,ccrdfconst_361-380.ttl,357,18,101,2
19,ccrdfconst_381-400.ttl,348,19,194,5
20,ccrdfconst_401-420.ttl,361,19,196,6
21,ccrdfconst_421-440.ttl,274,11,101,3
22,ccrdfconst_441-460.ttl,250,16,64,2
23,ccrdfconst_461-480.ttl,322,19,88,1
24,ccrdfconst_481-500.ttl,284,18,96,3
25,ccrdfconst_501-520.ttl,252,15,81,2
26,ccrdfconst_521-540.ttl,145,2,0,0
27,ccrdfconst_541-560.ttl,211,10,0,0
28,ccrdfconst_561-580.ttl,178,6,0,0
29,ccrdfconst_581-600.ttl,164,5,34,1
30,ccrdfconst_601-620.ttl,258,11,40,1
31,ccrdfconst_621-640.ttl,195,5,0,0
32,ccrdfconst_641-660.ttl,164,8,0,0
33,ccrdfconst_661-680.ttl,209,9,0,0
34,ccrdfconst_681-700.ttl,194,9,55,1
35,ccrdfconst_701-720.ttl,336,18,143,4
36,ccrdfconst_721-740.ttl,273,15,53,1
37,ccrdfconst_741-760.ttl,305,16,109,3
38,ccrdfconst_761-780.ttl,285,16,90,3
39,ccrdfconst_781-800.ttl,299,17,85,3
40,ccrdfconst_801-820.ttl,360,19,0,0
41,ccrdfconst_821-840.ttl,301,16,0,0
42,ccrdfconst_841-860.ttl,362,16,126,3
43,ccrdfconst_861-880.ttl,282,12,86,3
44,ccrdfconst_881-900.ttl,203,6,34,1
45,ccrdfconst_901-920.ttl,296,16,0,0
46,ccrdfconst_921-940.ttl,354,18,147,3
47,ccrdfconst_941-960.ttl,315,18,138,5
48,ccrdfconst_961-980.ttl,238,14,44,1
49,ccrdfconst_1001-1020.ttl,268,16,84,2
50,ccrdfconst_1021-1040.ttl,229,9,89,2
51,ccrdfconst_1041-1060.ttl,135,2,26,1
52,ccrdfconst_1061-1080.ttl,145,4,0,0
53,ccrdfconst_1081-1100.ttl,167,2,74,2
54,ccrdfconst_1101-1120.ttl,302,13,71,1
55,ccrdfconst_1121-1140.ttl,316,19,61,1
56,ccrdfconst_1141-1160.ttl,247,19,0,0
57,ccrdfconst_1161-1180.ttl,294,15,140,4
58,ccrdfconst_1181-1200.ttl,293,18,110,3
59,ccrdfconst_1201-1220.ttl,263,15,52,1
60,ccrdfconst_1221-1240.ttl,419,17,99,2
61,ccrdfconst_1241-1260.ttl,133,2,20,1
62,ccrdfconst_1261-1280.ttl,204,6,0,0
63,ccrdfconst_1281-1300.ttl,346,17,74,1
64,ccrdfconst_1301-1320.ttl,302,18,151,7
65,ccrdfconst_1321-1340.ttl,300,16,122,3
66,ccrdfconst_1341-1360.ttl,272,16,27,1
67,ccrdfconst_1361-1380.ttl,323,15,101,3
68,ccrdfconst_1381-1400.ttl,278,17,106,4
69,ccrdfconst_1401-1420.ttl,306,13,137,3
70,ccrdfconst_1421-1440.ttl,339,17,80,2
71,ccrdfconst_1441-1460.ttl,218,7,0,0
72,ccrdfconst_1481-1500.ttl,344,19,162,5
73,ccrdfconst_1501-1520.ttl,357,18,76,1
74,ccrdfconst_1521-1540.ttl,420,18,133,2
75,ccrdfconst_1541-1560.ttl,363,17,123,2
76,ccrdfconst_1561-1580.ttl,317,15,70,1
77,ccrdfconst_1581-1600.ttl,391,19,67,2
78,ccrdfconst_1601-1620.ttl,343,18,110,2
79,ccrdfconst_1621-1640.ttl,256,15,27,1
80,ccrdfconst_1661-1680.ttl,373,16,117,3
81,ccrdfconst_1681-1700.ttl,133,7,18,3
82,ccrdfconst_1701-1720.ttl,222,12,60,2
83,ccrdfconst_1721-1740.ttl,252,14,97,3
84,ccrdfconst_1741-1760.ttl,256,13,53,2
85,ccrdfconst_1761-1780.ttl,319,15,74,3
86,ccrdfconst_1781-1800.ttl,310,14,181,6
87,ccrdfconst_1801-1820.ttl,312,17,82,3
88,ccrdfconst_1821-1840.ttl,324,15,127,4
89,ccrdfconst_1841-1860.ttl,314,18,167,6
90,ccrdfconst_1861-1880.ttl,359,20,76,1
91,ccrdfconst_1881-1900.ttl,340,18,190,6
92,ccrdfconst_1901-1920.ttl,332,18,172,6
93,ccrdfconst_1921-1940.ttl,249,12,41,1
94,ccrdfconst_1941-1960.ttl,254,19,51,1
95,ccrdfconst_1961-1980.ttl,283,17,85,3
96,ccrdfconst_1981-2000.ttl,388,19,133,2
97,ccrdfconst_2001-2020.ttl,354,19,180,5
98,ccrdfconst_2021-2040.ttl,309,19,83,1
99,ccrdfconst_2041-2060.ttl,210,12,84,2
100,ccrdfconst_2061-2080.ttl,275,15,57,2
101,ccrdfconst_2081-2100.ttl,301,20,0,0
102,ccrdfconst_2101-2120.ttl,332,15,122,3
103,ccrdfconst_2121-2140.ttl,279,15,0,0
104,ccrdfconst_2141-2160.ttl,319,17,120,3
105,ccrdfconst_2161-2180.ttl,310,20,96,3
106,ccrdfconst_2181-2200.ttl,330,14,109,2
107,ccrdfconst_2201-2220.ttl,364,19,142,3
108,ccrdfconst_2221-2240.ttl,316,16,68,1
109,ccrdfconst_2241-2260.ttl,366,18,132,2
110,ccrdfconst_2261-2280.ttl,329,17,169,4
111,ccrdfconst_2281-2300.ttl,281,16,67,1
112,ccrdfconst_2301-2320.ttl,382,19,94,2
113,ccrdfconst_2321-2340.ttl,271,18,0,0
114,ccrdfconst_2341-2360.ttl,306,18,54,1
115,ccrdfconst_2361-2380.ttl,332,17,105,2
116,ccrdfconst_2381-2400.ttl,275,15,56,2
117,ccrdfconst_2401-2420.ttl,183,7,0,0
118,ccrdfconst_2421-2440.ttl,279,11,37,1
119,ccrdfconst_2441-2460.ttl,289,14,0,0
120,ccrdfconst_2461-2480.ttl,330,18,146,4
121,ccrdfconst_2481-2500.ttl,248,11,39,1
122,ccrdfconst_2501-2520.ttl,334,16,140,5
123,ccrdfconst_2521-2540.ttl,346,19,108,2
124,ccrdfconst_2541-2560.ttl,308,16,66,1
125,ccrdfconst_2561-2580.ttl,352,19,152,4
126,ccrdfconst_2581-2600.ttl,260,15,0,0
127,ccrdfconst_2601-2620.ttl,316,18,139,5
128,ccrdfconst_2621-2640.ttl,324,17,125,3
129,ccrdfconst_2641-2660.ttl,263,19,0,0
130,ccrdfconst_2661-2680.ttl,277,17,84,2
131,ccrdfconst_2681-2700.ttl,286,20,0,0
132,ccrdfconst_2701-2720.ttl,328,19,120,2
133,ccrdfconst_2721-2740.ttl,336,19,99,2
134,ccrdfconst_2741-2760.ttl,401,18,140,2
135,ccrdfconst_2761-2780.ttl,271,17,0,0
136,ccrdfconst_2781-2800.ttl,280,13,66,1
137,ccrdfconst_2801-2820.ttl,166,7,59,2
138,ccrdfconst_2821-2840.ttl,179,9,34,1
139,ccrdfconst_2841-2860.ttl,291,18,94,2
140,ccrdfconst_2861-2880.ttl,269,19,55,1
141,ccrdfconst_2881-2900.ttl,289,16,48,1
142,ccrdfconst_2901-2920.ttl,292,17,73,1
143,ccrdfconst_2921-2940.ttl,167,7,0,0
144,ccrdfconst_2941-2960.ttl,184,6,31,1
145,ccrdfconst_2961-2980.ttl,128,1,0,0
146,ccrdfconst_2981-3000.ttl,245,16,0,0
147,ccrdfconst_3001-3020.ttl,165,4,61,2
148,ccrdfconst_3021-3040.ttl,123,2,0,0
149,ccrdfconst_3041-3060.ttl,151,1,0,0
150,ccrdfconst_3061-3080.ttl,122,2,0,0
151,ccrdfconst_3081-3100.ttl,124,2,32,2
152,ccrdfconst_3101-3120.ttl,110,1,18,1
153,ccrdfconst_3121-3140.ttl,161,3,66,2
154,ccrdfconst_3141-3160.ttl,131,0,0,0
155,ccrdfconst_3161-3180.ttl,125,2,0,0
156,ccrdfconst_3181-3200.ttl,115,3,0,0
157,ccrdfconst_3201-3220.ttl,170,3,52,1
158,ccrdfconst_3221-3240.ttl,117,3,0,0
159,ccrdfconst_3241-3260.ttl,266,10,100,3
160,ccrdfconst_3261-3280.ttl,367,17,166,4
161,ccrdfconst_3281-3300.ttl,354,16,109,1
162,ccrdfconst_3301-3320.ttl,365,17,115,3
163,ccrdfconst_3321-3340.ttl,317,13,135,4
164,ccrdfconst_3341-3360.ttl,256,14,54,1
165,ccrdfconst_3361-3380.ttl,257,15,0,0
166,ccrdfconst_3381-3400.ttl,295,15,85,2
167,ccrdfconst_3401-3420.ttl,307,19,94,3
168,ccrdfconst_3421-3440.ttl,276,13,120,5
169,ccrdfconst_3441-3460.ttl,326,16,135,4
170,ccrdfconst_3461-3480.ttl,360,18,111,3
171,ccrdfconst_3481-3500.ttl,300,17,88,2
172,ccrdfconst_3501-3520.ttl,322,19,191,8
173,ccrdfconst_3521-3540.ttl,264,19,30,1
174,ccrdfconst_3541-3560.ttl,252,13,42,1
175,ccrdfconst_3561-3580.ttl,328,15,159,5
176,ccrdfconst_3581-3600.ttl,234,9,0,0
177,ccrdfconst_3601-3620.ttl,325,18,141,4
178,ccrdfconst_3621-3640.ttl,293,13,63,1
179,ccrdfconst_3641-3660.ttl,317,18,0,0
180,ccrdfconst_3661-3680.ttl,228,14,25,1
181,ccrdfconst_3681-3700.ttl,266,17,28,1
182,ccrdfconst_3701-3720.ttl,248,16,0,0
183,ccrdfconst_3721-3740.ttl,343,18,124,3
184,ccrdfconst_3741-3760.ttl,231,13,87,3
185,ccrdfconst_3761-3780.ttl,311,15,114,3
186,ccrdfconst_3781-3800.ttl,309,18,111,3
187,ccrdfconst_3801-3820.ttl,285,12,112,4
188,ccrdfconst_3821-3840.ttl,338,18,69,1
189,ccrdfconst_3841-3860.ttl,324,19,42,1
190,ccrdfconst_3861-3880.ttl,343,18,63,2
191,ccrdfconst_3881-3900.ttl,314,15,0,0
192,ccrdfconst_3901-3920.ttl,296,16,81,2
193,ccrdfconst_3921-3940.ttl,263,12,62,2
194,ccrdfconst_3941-3960.ttl,298,16,169,6
195,ccrdfconst_3961-3980.ttl,304,13,131,3
196,ccrdfconst_3981-4000.ttl,226,14,0,0
197,ccrdfconst_4001-4020.ttl,244,14,0,0
198,ccrdfconst_4021-4040.ttl,258,14,70,2
199,ccrdfconst_4041-4060.ttl,252,12,92,2
200,ccrdfconst_4061-4080.ttl,235,16,0,0
201,ccrdfconst_4081-4100.ttl,320,12,161,5
202,ccrdfconst_4101-4120.ttl,294,14,110,2
203,ccrdfconst_4121-4140.ttl,305,13,0,0
204,ccrdfconst_4141-4160.ttl,365,15,161,3
205,ccrdfconst_4161-4180.ttl,271,14,0,0
206,ccrdfconst_4181-4200.ttl,289,16,58,2
207,ccrdfconst_4201-4220.ttl,154,8,0,0
208,ccrdfconst_4221-4240.ttl,145,3,0,0
209,ccrdfconst_4241-4260.ttl,263,8,96,2
210,ccrdfconst_4261-4280.ttl,317,15,104,2
211,ccrdfconst_4281-4300.ttl,229,9,76,2
212,ccrdfconst_4301-4320.ttl,204,12,0,0
213,ccrdfconst_4321-4340.ttl,305,18,122,2
214,ccrdfconst_4341-4360.ttl,290,13,41,1
215,ccrdfconst_4361-4380.ttl,231,9,68,2
216,ccrdfconst_4381-4400.ttl,344,17,181,5
217,ccrdfconst_4401-4420.ttl,297,17,50,1
218,ccrdfconst_4421-4440.ttl,269,16,64,1
219,ccrdfconst_4441-4460.ttl,155,4,0,0
220,ccrdfconst_4461-4480.ttl,241,10,60,1
221,ccrdfconst_4481-4500.ttl,315,17,56,1
222,ccrdfconst_4501-4520.ttl,147,11,40,5
223,ccrdfconst_4521-4540.ttl,272,20,0,0
224,ccrdfconst_4541-4560.ttl,378,18,182,5
225,ccrdfconst_4561-4580.ttl,336,19,165,5
226,ccrdfconst_4581-4600.ttl,428,20,201,5
227,ccrdfconst_4601-4620.ttl,261,17,82,3
228,ccrdfconst_4641-4660.ttl,271,16,111,4
229,ccrdfconst_4661-4680.ttl,244,17,72,3
230,ccrdfconst_4681-4700.ttl,254,15,0,0
231,ccrdfconst_4701-4720.ttl,225,10,53,1
232,ccrdfconst_4721-4740.ttl,341,20,110,2
233,ccrdfconst_4741-4760.ttl,350,19,107,2
234,ccrdfconst_4761-4780.ttl,332,19,80,1
235,ccrdfconst_4781-4800.ttl,279,20,68,1
236,ccrdfconst_4801-4820.ttl,339,19,72,1
237,ccrdfconst_4841-4860.ttl,334,16,126,3
238,ccrdfconst_4861-4880.ttl,312,16,80,2
239,ccrdfconst_4881-4900.ttl,316,19,72,1
240,ccrdfconst_4901-4920.ttl,300,16,72,2
241,ccrdfconst_4921-4940.ttl,253,16,0,0
242,ccrdfconst_4941-4960.ttl,311,16,89,2
243,ccrdfconst_4961-4980.ttl,251,16,66,1
244,ccrdfconst_4981-5000.ttl,204,7,0,0
245,ccrdfconst_5001-5020.ttl,240,11,0,0
246,ccrdfconst_5021-5040.ttl,160,2,0,0
247,ccrdfconst_5041-5060.ttl,308,16,125,4
248,ccrdfconst_5061-5080.ttl,242,17,63,2
249,ccrdfconst_5081-5100.ttl,225,13,78,3
250,ccrdfconst_5101-5120.ttl,317,19,128,3
251,ccrdfconst_5121-5140.ttl,262,16,73,2
252,ccrdfconst_5141-5160.ttl,331,17,130,4
253,ccrdfconst_5161-5180.ttl,393,19,131,3
254,ccrdfconst_5181-5200.ttl,275,15,153,7
255,ccrdfconst_5201-5220.ttl,360,16,113,2
256,ccrdfconst_5221-5240.ttl,266,13,96,2
257,ccrdfconst_5241-5260.ttl,333,19,78,1
258,ccrdfconst_5261-5280.ttl,263,10,88,3
259,ccrdfconst_5281-5300.ttl,199,8,33,1
260,ccrdfconst_5301-5320.ttl,370,19,98,1
261,ccrdfconst_5321-5340.ttl,247,14,26,1
262,ccrdfconst_5341-5360.ttl,221,15,51,2
263,ccrdfconst_5361-5380.ttl,357,18,118,2
264,ccrdfconst_5381-5400.ttl,239,13,49,1
265,ccrdfconst_5401-5420.ttl,313,14,164,4
266,ccrdfconst_5421-5440.ttl,224,11,0,0
267,ccrdfconst_5441-5460.ttl,127,1,0,0
268,ccrdfconst_5461-5480.ttl,166,0,0,0
269,ccrdfconst_5481-5500.ttl,232,4,49,1
270,ccrdfconst_5501-5520.ttl,162,1,0,0
271,ccrdfconst_5521-5540.ttl,236,10,0,0
272,ccrdfconst_5541-5560.ttl,273,13,80,2
273,ccrdfconst_5561-5580.ttl,341,18,104,2
274,ccrdfconst_5581-5600.ttl,242,12,74,2
275,ccrdfconst_5601-5620.ttl,282,17,85,4
