	nmvw_uri	pref_label	birth_begin_time	birth_end_time	death_begin_time	death_end_time	death_end_time	ConstituentID	AlphaSort	NameTitle	Biography	FirstName	MiddleName	LastName	Suffix	FullName	DisplayName	BeginDate	EndDate	DisplayDate	Nationality	BeginDateISO	EndDateISO	HumanEval	Remarks
0	https://hdl.handle.net/20.500.11840/pi3325	F.W. (Friedrich Wilhelm) Stammeshaus	1881	1881	1957	1957	1957	10400.0	Stammeshaus Friedrich Wilhelm		"F.W. Stammeshaus, militair, bestuursambtenaar, conservator en verzamelaar. Dankzij Friedrich Wilhelm Stammeshaus bezit het Tropenmuseum een omvangrijke collectie voorwerpen uit Aceh (o.a. serie 674 en 702). Stammeshaus werd op 3 juni 1881 geboren in Sigli, Aceh. Zijn vader, ook Friedrich Wilhelm geheten, was een Pruisisch-Nederlandse legerarts in dienst van het KNIL en zijn moeder was de Chinese Tjit Nio, afkomstig van Java. Toen Stammeshaus jr. vier jaar oud was, werd hij door zijn vader of grootvader naar Nederland gebracht. Hier ging hij naar een kostschool en doorliep de HBS in Tilburg. Zijn vader trouwde in 1886 in Indië met een Nederlandse vrouw en stichtte aldaar een nieuw gezin. Op zijn negentiende schreef Stammeshaus zich in voor het leger en vertrok drie jaar later, in 1903, naar Nederlands-Indië. Als sergeant werd hij ingedeeld bij het Elfde Bataljon Infanterie. In 1904 werd hij overgeplaatst naar Sumatra waar hij werkte bij de bevoorradings- en aanvullingscolonne en vocht in het Batak- en Gayo-Alasgebied. Tot het einde van zijn militaire carrière in 1909 hielp hij mee aan de hardhandige onderwerping van de binnenlanden van Aceh. Hiervoor ontving hij diverse militaire onderscheidingen.

In januari 1909 trad Stammeshaus uit militaire dienst en werd werkzaam bij het binnenlands bestuur. Hij werkte als gezaghebber en controleur in de Acehse districten Calang, Seulimeum en Lhoknga, destijds \u2018onderafdeling\u2019 geheten, tot deze functie in 1931 werd opgeheven. Zijn taken waren onder mee het innen van belasting, toezicht houden op scholen, rechtbanken en klinieken alsmede diverse bestuurlijke taken. 
Stammeshaus was een verwoed verzamelaar van etnografica. In zijn collectie bevonden zich vele munten, islamitische handschriften en amuletten, maar ook enkele waardevolle gouden sieraden en wapens. De voorwerpen verwierf hij in de vele dorpen waar hij als militair en later als bestuursambtenaar kwam. Ook gaf de plaatselijke bevolking hem weleens cadeaus, zoals de kleding van de bekende verzetsheld Teuku Umar, leider van de Acehse opstand tegen de Nederlandse overheersing, een schenking van diens zoon. In 1915 wist Stammeshaus de Gouverneur van Aceh, H.N.A. Swart, zover te krijgen om een Atjeh Museum op te richten in Koeta Radja (het tegenwoordige Banda Aceh). In het museum was de omvangrijke privéverzameling van Stammeshaus te zien en hijzelf werd er als conservator aangesteld. Een deel van zijn collectie etnografica, munten, fossielen, koperwerk en weefsels was al van 20 augustus tot 22 november 1914 op de Koloniale Tentoonstelling in Semarang te zien geweest in het paviljoen van 'Atjeh en Onderhoorigheden'. Dit paviljoen werd na afloop naar Koeta Radja werd overgebracht om het Atjeh Museum te huisvesten. Dit museum bestaat tot op de dag van vandaag. In 1931 zou Stammeshaus terugkeren naar Nederland en verkocht daarom (na eerder al schenkingen te hebben gedaan) in 1930 zo\u2019n 2.100 objecten aan het museum van het Koloniaal Instituut, de voorloper van het Tropenmuseum. 

Vanaf 1931 was hij daar werkzaam als (assistent)conservator. Zijn bezigheden bestonden onder andere uit het beschrijven van de objecten uit zijn verzameling en het geven van rondleidingen. Daarnaast was hij vanaf 1938 archivaris van het Atjeh-Instituut en hield hij zich vanaf de jaren veertig bezig met het samenstellen van een Nederlands-Atjehsch woordenboek. In 1947 ging Stammeshaus met pensioen, tot juli 1948 bleef hij echter doorwerken aan het woordenboek.

Literatuur: 
- Shatanawi, M. Islam in beeld. Kunst en cultuur van moslims wereldwijd. Amsterdam: SUN, 2009: 51
- Duuren, D.A. van. 125 jaar verzamelen. Het Tropenmuseum pakt uit. Amsterdam: Koninklijk Instituut voor de Tropen, 1990 
- \u2018Ruim een kwart eeuw in Atjeh\u2019. De Telegraaf, 16-04-1931 
- Heel, M.G. van (red.). Gedenkboek van de Koloniale Tentoonstelling in Semarang 20 augustus-22 november 1914. Batavia: Drukkerij Mercurius, 1914 

Publicaties:
-Stammeshaus, A.A.J.T. (red.). Eens en voor altijd Atjeh. Uit de nagelaten memoires van F.W. Stammeshaus. Amsterdam: Uitgeverij Centraal Venster, 1977 
-Stammeshaus, F.W. \u2018Atjehsche munten\u2019. In: Cultureel Indië Vol. 8 (1946), pp. 113-121
-Stammeshaus, F.W. Penoentoen Hadji (djalan ke-Mekah): jaitoe: boekoe penoentoen dan pengoendjoek djalan bagi orang jang naik Hadji ke-Mekah. Weltevreden: Bintang-Hindia, 1924

Bron: https://id28.ilovetranslation.com/dfwpte0dBgu=d/. Bezocht: juni 2018


e-mail met correcties en anvullingen

From: John Klein Nagelvoort [mailto:jonno1971@me.com] 
Sent: maandag 11 juni 2018 21:43
To: Lohnstein, MJ, Drs., DOSCO/F&L/LOG/KTOMMB/MUSEUM
Subject: Re: Pet Stammeshaus, 2012/02/03-1-1, deel 1

Van het Tropenmuseum.
Het klopt niet helemaal, maar in grote lijnen kan het wel.

Toen Stammeshaus jr. vier jaar oud was, werd hij door zijn vader of grootvader naar Nederland gebracht. 

Klopt niet = Zijn vader trouwde met de zus van een resident, en liet Stammeshaus jr. op 8 jarige leeftijd in Nederland achter.

Tot het einde van zijn militaire carrière in 1909 hielp hij mee aan de hardhandige onderwerping van de binnenlanden van Aceh.

Deze zin klopt niet, in 1907 was hij het beu,, vanaf april 1907 gedetacheerd als sergeant/klerk bij de Atjeh stoomtram exploitatie.
In 1909 uit dienst en als klerk in dienst bij de Atjeh stoomtram exploitatie.
September 1909 als klerk bij de civiel gezaghebber te Seulimeum.
juli 1914 tijdelijk aspirant gezaghebber
oktober 1921 gediplomeerd gezaghebber 
april 1924 controleur Binnenlands Bestuur"	Friedrich Wilhelm		Stammeshaus		Friedrich Wilhelm Stammeshaus 	Friedrich Wilhelm Stammeshaus	1881	0	born 1881		1881		YES	
0	https://hdl.handle.net/20.500.11840/pi76219	L. (Louis) van Vuuren	1873	1873	1951	1951	1951	7323.0	Vuuren L. van OON, EV 1e Luitenant der Infanterie KNIL	1e Luitenant der Infanterie KNIL	"Dagorder 1904, no. 17. Ter zake van hun gedrag bij de Krijgsverrichtingen in Atjeh gedurende het tweede halfjaar 1903: te benoemen tot Ridder in de Orde van Oranje-Nassau L. van Vuuren.
Dagorder 1906, no.26: Krijgsverrichtingen in Atjeh en Onderhoorigheden gedurende het tweede halfjaar 1905 eervol te doen vermelden de eerste luitenants van het Korps Marechaussee L. van Vuuren.
Dagorder 1908, no. 4: KB. 7 maart 1908 No. 55 onderscheiden in de residentie Tapanoeli in het eerste halfjaar 1907 tot Officier in de orde van Oranje Nassau de eerste Luitenant der Infanterie L. van Vuuren."	L.	van	Vuuren	OON, EV	L. Vuuren	1e Luitenant der Infanterie KNIL L. van Vuuren OON, EV	0	0					YES	Looking for Vuuren, Louis van; can’t conclude; Multiple match in Bronbeek; They are the same person
1	https://hdl.handle.net/20.500.11840/pi76219	L. (Louis) van Vuuren	1873	1873	1951	1951	1951	1381.0	Vuuren L. van Professor	Professor		L.	van	Vuuren		L. Vuuren	Professor L. van Vuuren	0	0					YES	Looking for Vuuren, Louis van; can’t conclude; Multiple match in Bronbeek; they are the same person
0	https://hdl.handle.net/20.500.11840/pi77221	Jean Louis Henry Beijens	1835	1835	1914	1914	1914	9805.0	Beijens Jean Louis Henri		"Nationaal Archief: 2.13.05-334/41

Vader onbekend

Moeder: Louisa Wilhelmina Beijens

Geboren den 23 Januarij 1835 te ‘s-Gravenhage (Gehuwd)

Soldaat vrijwillig bij het 7 Regiment infanterie; 8 augustus 1850

Overgeplaatst bij het Instructie Bataillon; 15 Januarij 1851

Korporaal titulair; 1 october 1851

Overgeplaatst bij het 4e Regiment Infanterie; 20 october 1851

Korporaal; 17 november 1851

Sergeant titulair; 17 april 1853

Sergeant; 16 october 1853

Benoemd tot 2e luitenant bij het 3e Regiment Infanterie, bij Z.M. Besluit No.55; 10 december 1857

Voor den tijd van vijf jaren gedetacheerd bij het Wapen der infanterie van het Leger in Oost Indië bij Z.M. Besluit no.108; 10 december 1858

Geëmbarceerd te Nieuwediep aan boord van het schip Australië; 14 november 1858

Gedebarceerd te Batavia; 6 maart 1859

Geplaatst bij het 7 Bataillon Infanterie; 20 april 1859

Benoemd tot 1 e Luitenant bij Z.M. Besluit no.66; 3 april 1860

Onder Konings nadere goedkeuring verleend een jaar verlof naar Nederland buiten bezwaar van den lande en met bepaling dat die tijd niet zal strekken in mindering van zijn voor het Indisch leger aangegeven verband, noch van den verpligten diensttijd ter verlanging van regt op pensioen bij besluit van den Gouverneur Generaal van Nederlandsch Indië, no.1; 5 januarij 1861

Op het door hem hiertoe gedaan verzoek een eervol ontslag uit de militaire dienst verleend bij Z.M. Besluit no.30, 18 november 1861

Benoemd tot 2e Luitenant bij het 1e Regiment Infanterie bij besluit no.103, 17 januarij 1862.

Gedetacheerd bij de applicatie School te Breda ingev: aanschr: van het D.V.O. Van den 16 augustus 1864, no.46P; 1 october 1864

Overgeplaatst bij het 3e Regiment Infanterie ing: aansch: van het D.V.O. No.91; 19 Junij 1865

2.13.05-342/3

Bij het 7 Regiment Infanterie vrijwillig geëngageerd als soldaat voor 10 jaren zonder handgeld; 8 Augustus 1850

Overgeplaatst bij het Instructie Bataillon ingevolge aanschrijving van het M.V.O. No.1; 15 Januarij 1851

Korporaal titulair; 1october 1851

Overgeplaatst bij het 4 Regiment Infanterie ingevolge aanschrijving van het M.V.O. No.25B; 20 october 1851

Korporaal; 17 november 1851

Sergeant titulair; 17 april 1853

Sergeant; 16 october 1853

Benoemd tot 2e luitenant bij het 3e Regiment Inf. Bij besluit van Z.M. No.55; 10 december 1857

Overgeplaatst bij het Koloniale Werfdepot om voor den tijd van vijf jaren gedetacheerd te worden bij het Wapen der infanterie van het Leger in OostIndië, onder toekenning eener gratificatie van f.1500,- bij Besluit van Z.M. No.108; 18 sept. 1858.

/70

Extra informatie bij 334

2) Benoemd tot 1e luitenant bij Z.M. Besluit no.40; 3 Julij 1865

1) Bij het Korps aangekomen 15 Julij 1865

Op het daartoe door hem gedaan verzoek een eervol ontslag uit de dienst verleend bij besluit van Z.M. No.64; 14 Februarij 1867."	Jean Louis Henri		Beijens		Jean Louis Henri Beijens	Jean Louis Henri Beijens	1835	1914	1835 - 1914		1835	1914	YES	
0	https://hdl.handle.net/20.500.11840/pi63457	S.J. (Sjoerd) Nauta						1447.0	Rijksmuseum Justinus van Nassau, Nauta Sjoerd		"Brief Ad Koppe:
Sjoerd Nauta was cadet in 1939. Door een in het werkkamp opgelopen blessure kon hij na WO II geen officier meer worden, hetgeen hij zeer betreurde. Later is hij nog wel bibliothecaris op de KMA geweest en directeur van het Breda´se museum."	Sjoerd		Nauta		Sjoerd Nauta	Sjoerd Nauta	0	0					YES	
0	https://hdl.handle.net/20.500.11840/pi56613	W.G.A.C. (Willem Gerardus Antonius Cornelis) Christan	1854-04-28	1854-04-28	1915-07-12	1915-07-12	1915-07-12	1150.0	Christan W.G.A.C. RMWO-3, ES Generaal-majoor	Generaal-majoor	"Generaal-majoor van het Nederlands Oost-Indisch leger.
Ridder Militaire Willemsorde 3e klas. Drager van de Eresabel, bij dagorder eervol vermeld. Ridder in de Orde van de Nederlandse Leeuw."	W.G.A.C.		Christan	RMWO-3, ES	W.G.A.C. Christan 	Generaal-majoor W.G.A.C. Christan RMWO-3, ES	0	0					YES	
0	https://hdl.handle.net/20.500.11840/pi46240	J.C. (Johannes Cornelis) Wienecke	1872	1872	1945	1945	1945	3583.0	Wienecke J.C.			J.C.		Wienecke		J.C. Wienecke	J.C. Wienecke	0	0					YES	Looking for Wienecke 
0	https://hdl.handle.net/20.500.11840/pi81078	S. (Sophia) Swaan-Hannivoort	1901	1901	1990-09-21	1990-09-21	1990-09-21	14942.0	Swaan-Hannivoort, S.	mevrouw		S.		Swaan-Hannivoort		S. Swaan-Hannivoort	Mevrouw S. Swaan-Hannivoort	0	1990	-1990			1990-09-21	YES	
0	https://hdl.handle.net/20.500.11840/pi64129	Adolphe Zimmermans	1858-04-02	1858-04-02	1922-07-02	1922-07-02	1922-07-02	5995.0	Zimmermans Adolphe		"Signeert met: ""Adolphe Zimmermans Photographe de S.M. la Reine-Mère, La Haye"""	Adolphe		Zimmermans		Adolphe Zimmermans	Adolphe Zimmermans	0	0					YES	Possibly
0	https://hdl.handle.net/20.500.11840/pi21230	G.C.E. (Gotfried Coenraad Ernst) van Daalen	1863	1863	1930	1930	1930	1125.0	Daalen G.C.E. van Luitenant-generaal	Luitenant-generaal	"Luitenant-generaal - Commandant van het Nederlands Oost-Indisch Leger 1910-1914
Geboren te Makassar op 23-03-1863. Vader: Godfried Coenraad Ernst, Moeder: Jacoba Wilhelmina Weyergang.
Commandant van de colonne naar de Gajo-, Alas- en Bataklanden, 8 Februari tot 23 juli 1904. (Als Luitenant-kolonel)"	Gotfried Coenraad Ernst	van	Daalen		Gotfried Coenraad Ernst Daalen	Luitenant-generaal G.C.E. van Daalen	1863	0	born 1863		1863		YES	
