name,wiki_uri,s,wikidata,wiki_name
Gabriel Clark-Brown,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82570739')],https://hdl.handle.net/20.500.11840/pi1008,http://www.wikidata.org/entity/Q82570739,"[rdflib.term.Literal('Gabriel Clark-Brown', lang='en'), rdflib.term.Literal('Gabriel Clark-Brown', lang='nl')]"
Coenraad-Uhlig,[],https://hdl.handle.net/20.500.11840/pi1020,http://www.wikidata.org/entity/Q86817941,"[rdflib.term.Literal('Vera Coenraad-Uhlig', lang='en'), rdflib.term.Literal('Vera Coenraad-Uhlig', lang='nl')]"
Dhr. W. Coolhaas,[],https://hdl.handle.net/20.500.11840/pi1034,http://www.wikidata.org/entity/Q82570803,"[rdflib.term.Literal('W. Coolhaas', lang='en'), rdflib.term.Literal('W. Coolhaas', lang='nl')]"
Dhr. H. Cooymans,[],https://hdl.handle.net/20.500.11840/pi1036,http://www.wikidata.org/entity/Q86735049,"[rdflib.term.Literal('H. Cooymans', lang='en'), rdflib.term.Literal('H. Cooymans', lang='nl')]"
Prof.dr. L.Ph. (Louis Philibert) le Cosquino de Bussy,[],https://hdl.handle.net/20.500.11840/pi1049,http://www.wikidata.org/entity/Q55022277,"[rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='ast'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ca'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='cy'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='da'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='de'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='en'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='es'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='fi'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='fr'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ga'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='it'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nb'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nl'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pt'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pt-br'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ro'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sc'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='sq'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sv'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='an'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='de-at'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='de-ch'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='gl'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='io'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='jut'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nn'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pms'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sco'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sje')]"
Drs. F.M. (Frits) Cowan,[],https://hdl.handle.net/20.500.11840/pi1054,http://www.wikidata.org/entity/Q82570805,"[rdflib.term.Literal('Frits Cowan', lang='en'), rdflib.term.Literal('Frits Cowan', lang='nl')]"
Mr. P. Creutzberg,[],https://hdl.handle.net/20.500.11840/pi1067,http://www.wikidata.org/entity/Q82570815,"[rdflib.term.Literal('Piet Creutzberg', lang='ast'), rdflib.term.Literal('Piet Creutzberg', lang='en-ca'), rdflib.term.Literal('Piet Creutzberg', lang='es'), rdflib.term.Literal('Piet Creutzberg', lang='fr'), rdflib.term.Literal('Piet Creutzberg', lang='pt'), rdflib.term.Literal('Piet Creutzberg', lang='pt-br'), rdflib.term.Literal('Piet Creutzberg', lang='ca'), rdflib.term.Literal('Piet Creutzberg', lang='en-gb'), rdflib.term.Literal('Piet Creutzberg', lang='it'), rdflib.term.Literal('Piet Creutzberg', lang='en'), rdflib.term.Literal('Piet Creutzberg', lang='nl'), rdflib.term.Literal('Piet Creutzberg', lang='sq')]"
H.T. (Henri Titus) DamstÃ©,[],https://hdl.handle.net/20.500.11840/pi1095,http://www.wikidata.org/entity/Q75288654,"[rdflib.term.Literal('Henri Titus Damsté', lang='ast'), rdflib.term.Literal('Henri Titus Damsté', lang='ca'), rdflib.term.Literal('Henri Titus Damsté', lang='cy'), rdflib.term.Literal('Henri Titus Damsté', lang='da'), rdflib.term.Literal('Henri Titus Damsté', lang='de'), rdflib.term.Literal('Henri Titus Damsté', lang='en'), rdflib.term.Literal('Henri Titus Damsté', lang='es'), rdflib.term.Literal('Henri Titus Damsté', lang='fi'), rdflib.term.Literal('Henri Titus Damsté', lang='fr'), rdflib.term.Literal('Henri Titus Damsté', lang='ga'), rdflib.term.Literal('Henri Titus Damsté', lang='it'), rdflib.term.Literal('Henri Titus Damsté', lang='nb'), rdflib.term.Literal('Henri Titus Damsté', lang='nl'), rdflib.term.Literal('Henri Titus Damsté', lang='pt'), rdflib.term.Literal('Henri Titus Damsté', lang='pt-br'), rdflib.term.Literal('Henri Titus Damsté', lang='ro'), rdflib.term.Literal('Henri Titus Damsté', lang='sc'), rdflib.term.Literal('Henri Titus Damste', lang='sq'), rdflib.term.Literal('Henri Titus Damsté', lang='sv')]"
K. ( Kanlanfei) Danaye,[],https://hdl.handle.net/20.500.11840/pi1097,http://www.wikidata.org/entity/Q86735052,"[rdflib.term.Literal('Kantafei Danaye', lang='en'), rdflib.term.Literal('Kantafei Danaye', lang='nl')]"
A. (Agus) Djaya,[],https://hdl.handle.net/20.500.11840/pi1157,http://www.wikidata.org/entity/Q15309706,"[rdflib.term.Literal('Agus Djaya', lang='dag'), rdflib.term.Literal('Raden Agus Djaya', lang='ca'), rdflib.term.Literal('Raden Agus Djaya', lang='da'), rdflib.term.Literal('Raden Agus Djaya', lang='it'), rdflib.term.Literal('Raden Agus Djaya', lang='pt'), rdflib.term.Literal('Raden Agus Djaya', lang='sv'), rdflib.term.Literal('Raden Agus Djaya', lang='pt-br'), rdflib.term.Literal('Agus Djaya', lang='ast'), rdflib.term.Literal('Agus Djaya', lang='de'), rdflib.term.Literal('Agus Djaya', lang='en'), rdflib.term.Literal('Agus Djaya', lang='es'), rdflib.term.Literal('Agus Djaya', lang='fr'), rdflib.term.Literal('Agus Djaya', lang='ga'), rdflib.term.Literal('Agus Djaya', lang='id'), rdflib.term.Literal('Agus Djaya', lang='nl'), rdflib.term.Literal('Agus Djaya', lang='sq'), rdflib.term.Literal('Agus Djaya', lang='su')]"
