 "n_nmvw_object" , "nmvw_actor" , "n_bb_object" ,
 "165" , "https://hdl.handle.net/20.500.11840/pi1064" , "0" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1111" , "0" ,
 "39" , "https://hdl.handle.net/20.500.11840/pi1116" , "0" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi1161" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1168" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1171" , "0" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1176" , "0" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi1189" , "0" ,
 "24" , "https://hdl.handle.net/20.500.11840/pi1197" , "0" ,
 "21" , "https://hdl.handle.net/20.500.11840/pi1255" , "0" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1281" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1288" , "0" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1356" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1369" , "0" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1420" , "0" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1422" , "0" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1487" , "0" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1654" , "0" ,
 "29" , "https://hdl.handle.net/20.500.11840/pi1701" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1717" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1737" , "0" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi1760" , "0" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1790" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1811" , "0" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi1853" , "0" ,
 "38" , "https://hdl.handle.net/20.500.11840/pi1862" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1867" , "0" ,
 "872" , "https://hdl.handle.net/20.500.11840/pi1875" , "0" ,
 "21" , "https://hdl.handle.net/20.500.11840/pi1900" , "0" ,
 "15" , "https://hdl.handle.net/20.500.11840/pi1984" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi20515" , "0" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi20565" , "0" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi20569" , "0" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi20570" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi20584" , "0" ,
 "19" , "https://hdl.handle.net/20.500.11840/pi20594" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi20626" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi20689" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi20716" , "0" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi20792" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi20850" , "0" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi20973" , "0" ,
