,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RoleTypeID,RoleType,LoginID,EnteredDate,SysTimeStamp,DefaultRoleID,PrimaryRoleID,AllowsAnonymousAccess
0,0,0,0,0,0,[not specified],sa/CIS,1997-10-20 16:32:12.030,0x000000000118AD89,0,0,0
1,1,1,1,1,1,Objecten gerelateerd,sa/CIS,1997-10-20 16:32:12.140,0x000000000144005C,30,30,0
2,2,2,2,2,2,Verwerving gerelateerd,sa/CIS,1997-10-20 16:32:12.200,0x00000000007A0E90,12,12,1
3,3,3,3,3,3,Tentoonstelling gerelateerd,sa/CIS,1997-10-20 16:32:12.263,0x000000000144005D,3,3,0
4,4,4,4,4,4,Literatuur gerelateerd,sa/CIS,1997-10-20 16:32:12.327,0x00000000007A0E89,4,4,0
5,5,5,5,5,5,Pedigree gerelateerd,sa/CIS,1997-10-20 16:32:12.390,0x00000000007A0E91,5,5,1
6,6,6,6,6,8,Vindplaats gerelateerd,sa/COMP6,1998-07-14 02:45:30.283,0x00000000007A0E8C,8,8,0
7,7,7,7,7,9,Gebeurtenis gerelateerd,sa/COMP6,1998-07-14 02:45:30.373,0x00000000007A0E8D,51,51,0
8,8,8,8,8,11,Media Related,APU0QSVC,2002-04-25 14:24:52.873,0x00000000007A0E7F,34,34,0
9,9,9,9,9,12,Shipment Related,APU0QSVC,2002-04-25 14:24:52.903,0x00000000007A0E80,40,40,0
10,10,10,10,10,13,Text Entry Related,APU0QSVC,2002-04-25 14:24:52.920,0x00000000007A0E81,41,41,0
11,11,11,11,11,14,Shipment Step Related,APU0QSVC,2002-04-25 14:24:52.933,0x000000000118AD8A,42,42,0
12,12,12,12,12,15,Insurance Related,Oleg,2002-04-25 16:28:07.703,0x00000000007A0E83,43,43,0
13,13,13,13,13,16,Conservation Related,GS,2005-11-11 11:30:11.627,0x000000000128FAD1,49,49,0
14,14,14,14,14,17,Incoming Loan Related,DMU,2015-07-01 14:57:48.410,0x00000000007CEDFB,57,57,1
15,15,15,15,15,18,Outgoing Loan Related,DMU,2015-07-01 14:57:48.410,0x00000000007CEDFD,58,58,0
16,16,16,16,16,19,Rights Related,GS,2015-07-01 14:57:47.340,0x00000000007A0E84,55,55,0
17,17,17,17,17,20,Venue Related,GS,2015-07-01 14:57:59.810,0x000000000088D3F3,56,62,0
18,18,18,18,18,21,Accession Lot Related,GS,2015-07-01 16:20:30.207,0x000000000144005F,60,60,0
19,19,19,19,19,22,Accession Lot Object Related,GS,2015-07-01 16:20:30.207,0x0000000001440060,61,61,0
