id_registration;registration_maintype;registration_type;registration_location;registration_day;registration_month;registration_year;registration_seq;source_digital_original
57757;1;g;;;;;;
3325;1;g;;;;;;
76219;1;g;;;;;;
76219;1;g;;;;;;
77221;1;g;;;;;;
63457;1;g;;;;;;
56613;1;g;;;;;;
46240;1;g;;;;;;
81078;1;g;;;;;;
64129;1;g;;;;;;
21230;1;g;;;;;;
69372;1;g;;;;;;
1095;1;g;;;;;;
82759;1;g;;;;;;
42477;1;g;;;;;;
40216;1;g;;;;;;
7329;3;h;;;;;;
10400;3;h;;;;;;
7323;3;h;;;;;;
1381;3;h;;;;;;
9805;3;h;;;;;;
1447;3;h;;;;;;
1150;3;h;;;;;;
3583;3;h;;;;;;
14942;3;h;;;;;;
5995;3;h;;;;;;
1125;3;h;;;;;;
1533;3;h;;;;;;
9678;3;h;;;;;;
1350;3;h;;;;;;
12116;3;h;;;;;;
330;3;h;;;;;;
