 "nmvw_actor" , "n_bb_object" ,
 "https://hdl.handle.net/20.500.11840/pi1007" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1021" , "179" ,
 "https://hdl.handle.net/20.500.11840/pi1022" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1023" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1024" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1033" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1034" , "74" ,
 "https://hdl.handle.net/20.500.11840/pi1043" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1049" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1058" , "24" ,
 "https://hdl.handle.net/20.500.11840/pi1059" , "24" ,
 "https://hdl.handle.net/20.500.11840/pi1060" , "24" ,
 "https://hdl.handle.net/20.500.11840/pi1062" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1063" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1064" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1065" , "22" ,
 "https://hdl.handle.net/20.500.11840/pi1066" , "29" ,
 "https://hdl.handle.net/20.500.11840/pi1067" , "29" ,
 "https://hdl.handle.net/20.500.11840/pi1071" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1072" , "22" ,
 "https://hdl.handle.net/20.500.11840/pi1081" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1082" , "43" ,
 "https://hdl.handle.net/20.500.11840/pi1083" , "43" ,
 "https://hdl.handle.net/20.500.11840/pi1085" , "23" ,
 "https://hdl.handle.net/20.500.11840/pi1087" , "238" ,
 "https://hdl.handle.net/20.500.11840/pi1088" , "238" ,
 "https://hdl.handle.net/20.500.11840/pi1089" , "238" ,
 "https://hdl.handle.net/20.500.11840/pi1090" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1098" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1107" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1108" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1109" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1111" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1115" , "67" ,
 "https://hdl.handle.net/20.500.11840/pi1136" , "15" ,
 "https://hdl.handle.net/20.500.11840/pi1138" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1140" , "91" ,
 "https://hdl.handle.net/20.500.11840/pi1141" , "91" ,
 "https://hdl.handle.net/20.500.11840/pi1142" , "91" ,
 "https://hdl.handle.net/20.500.11840/pi1143" , "91" ,
 "https://hdl.handle.net/20.500.11840/pi1148" , "7" ,
 "https://hdl.handle.net/20.500.11840/pi1152" , "114" ,
 "https://hdl.handle.net/20.500.11840/pi1161" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1162" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1170" , "179" ,
 "https://hdl.handle.net/20.500.11840/pi1171" , "5" ,
 "https://hdl.handle.net/20.500.11840/pi1172" , "28" ,
 "https://hdl.handle.net/20.500.11840/pi1173" , "28" ,
 "https://hdl.handle.net/20.500.11840/pi1177" , "15" ,
 "https://hdl.handle.net/20.500.11840/pi1187" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1188" , "113" ,
 "https://hdl.handle.net/20.500.11840/pi1189" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1197" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1201" , "21" ,
 "https://hdl.handle.net/20.500.11840/pi1202" , "21" ,
 "https://hdl.handle.net/20.500.11840/pi1204" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1205" , "5" ,
 "https://hdl.handle.net/20.500.11840/pi1210" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1215" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1239" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1241" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1242" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1244" , "6" ,
 "https://hdl.handle.net/20.500.11840/pi1249" , "180" ,
 "https://hdl.handle.net/20.500.11840/pi1255" , "18" ,
 "https://hdl.handle.net/20.500.11840/pi1273" , "15" ,
 "https://hdl.handle.net/20.500.11840/pi1274" , "9" ,
 "https://hdl.handle.net/20.500.11840/pi1275" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1280" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1281" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1288" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1292" , "40" ,
 "https://hdl.handle.net/20.500.11840/pi1293" , "40" ,
 "https://hdl.handle.net/20.500.11840/pi1295" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1296" , "135" ,
 "https://hdl.handle.net/20.500.11840/pi1297" , "135" ,
 "https://hdl.handle.net/20.500.11840/pi1300" , "5" ,
 "https://hdl.handle.net/20.500.11840/pi1303" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1304" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1306" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1308" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1314" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1315" , "6" ,
 "https://hdl.handle.net/20.500.11840/pi1318" , "18" ,
 "https://hdl.handle.net/20.500.11840/pi1320" , "55" ,
 "https://hdl.handle.net/20.500.11840/pi1325" , "177" ,
 "https://hdl.handle.net/20.500.11840/pi1326" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1327" , "16" ,
 "https://hdl.handle.net/20.500.11840/pi1339" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1340" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1343" , "20" ,
 "https://hdl.handle.net/20.500.11840/pi1344" , "20" ,
 "https://hdl.handle.net/20.500.11840/pi1371" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1373" , "83" ,
 "https://hdl.handle.net/20.500.11840/pi1374" , "83" ,
 "https://hdl.handle.net/20.500.11840/pi1382" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1395" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1412" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1415" , "152" ,
 "https://hdl.handle.net/20.500.11840/pi1416" , "152" ,
 "https://hdl.handle.net/20.500.11840/pi1417" , "152" ,
 "https://hdl.handle.net/20.500.11840/pi1418" , "7" ,
 "https://hdl.handle.net/20.500.11840/pi1421" , "29" ,
 "https://hdl.handle.net/20.500.11840/pi1422" , "11" ,
 "https://hdl.handle.net/20.500.11840/pi1427" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1428" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1430" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1435" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1440" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1447" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1459" , "58" ,
 "https://hdl.handle.net/20.500.11840/pi1466" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1478" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1487" , "4" ,
 "https://hdl.handle.net/20.500.11840/pi1492" , "196" ,
 "https://hdl.handle.net/20.500.11840/pi1493" , "196" ,
 "https://hdl.handle.net/20.500.11840/pi1495" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1496" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1497" , "3" ,
 "https://hdl.handle.net/20.500.11840/pi1515" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1519" , "37" ,
 "https://hdl.handle.net/20.500.11840/pi1520" , "37" ,
 "https://hdl.handle.net/20.500.11840/pi1524" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1525" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1526" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1527" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1528" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1529" , "228" ,
 "https://hdl.handle.net/20.500.11840/pi1539" , "27" ,
 "https://hdl.handle.net/20.500.11840/pi1553" , "800" ,
 "https://hdl.handle.net/20.500.11840/pi1554" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1555" , "12" ,
 "https://hdl.handle.net/20.500.11840/pi1581" , "6" ,
 "https://hdl.handle.net/20.500.11840/pi1582" , "6" ,
 "https://hdl.handle.net/20.500.11840/pi1583" , "6" ,
 "https://hdl.handle.net/20.500.11840/pi1588" , "524" ,
 "https://hdl.handle.net/20.500.11840/pi1589" , "13" ,
 "https://hdl.handle.net/20.500.11840/pi1590" , "13" ,
 "https://hdl.handle.net/20.500.11840/pi1591" , "13" ,
 "https://hdl.handle.net/20.500.11840/pi1592" , "13" ,
 "https://hdl.handle.net/20.500.11840/pi1593" , "13" ,
 "https://hdl.handle.net/20.500.11840/pi1599" , "1" ,
 "https://hdl.handle.net/20.500.11840/pi1600" , "8" ,
 "https://hdl.handle.net/20.500.11840/pi1607" , "2" ,
 "https://hdl.handle.net/20.500.11840/pi1609" , "2" ,
