 "no_object" , "bb_actor" ,
 "88" , "https://pressingmatter.nl/Bronbeek/Constituents/1" ,
 "1" , "https://pressingmatter.nl/Bronbeek/Constituents/10000" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/10002" ,
 "17" , "https://pressingmatter.nl/Bronbeek/Constituents/10003" ,
 "17" , "https://pressingmatter.nl/Bronbeek/Constituents/10004" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/10009" ,
 "3" , "https://pressingmatter.nl/Bronbeek/Constituents/10013" ,
 "10" , "https://pressingmatter.nl/Bronbeek/Constituents/10017" ,
 "10" , "https://pressingmatter.nl/Bronbeek/Constituents/10018" ,
 "1" , "https://pressingmatter.nl/Bronbeek/Constituents/10019" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/10021" ,
 "131" , "https://pressingmatter.nl/Bronbeek/Constituents/10026" ,
 "16" , "https://pressingmatter.nl/Bronbeek/Constituents/10027" ,
 "4" , "https://pressingmatter.nl/Bronbeek/Constituents/10036" ,
 "3" , "https://pressingmatter.nl/Bronbeek/Constituents/10037" ,
 "7" , "https://pressingmatter.nl/Bronbeek/Constituents/10046" ,
 "7" , "https://pressingmatter.nl/Bronbeek/Constituents/10047" ,
 "23" , "https://pressingmatter.nl/Bronbeek/Constituents/10049" ,
 "23" , "https://pressingmatter.nl/Bronbeek/Constituents/10050" ,
 "10" , "https://pressingmatter.nl/Bronbeek/Constituents/10052" ,
 "10" , "https://pressingmatter.nl/Bronbeek/Constituents/10053" ,
 "14" , "https://pressingmatter.nl/Bronbeek/Constituents/10054" ,
 "37" , "https://pressingmatter.nl/Bronbeek/Constituents/10057" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/1006" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/10066" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/1007" ,
 "2" , "https://pressingmatter.nl/Bronbeek/Constituents/10071" ,
 "14" , "https://pressingmatter.nl/Bronbeek/Constituents/10074" ,
 "14" , "https://pressingmatter.nl/Bronbeek/Constituents/10075" ,
