no_object,no_place,nmvw_actor
11,3,https://hdl.handle.net/20.500.11840/pi1000
1,1,https://hdl.handle.net/20.500.11840/pi1002
4,1,https://hdl.handle.net/20.500.11840/pi1003
2,2,https://hdl.handle.net/20.500.11840/pi1004
23,3,https://hdl.handle.net/20.500.11840/pi1006
4,1,https://hdl.handle.net/20.500.11840/pi1007
1,1,https://hdl.handle.net/20.500.11840/pi1008
1,1,https://hdl.handle.net/20.500.11840/pi1012
209,14,https://hdl.handle.net/20.500.11840/pi1014
4,1,https://hdl.handle.net/20.500.11840/pi1015
2,1,https://hdl.handle.net/20.500.11840/pi1016
4,3,https://hdl.handle.net/20.500.11840/pi1019
1,1,https://hdl.handle.net/20.500.11840/pi1020
31,7,https://hdl.handle.net/20.500.11840/pi1022
2,1,https://hdl.handle.net/20.500.11840/pi1025
1,1,https://hdl.handle.net/20.500.11840/pi1026
2,1,https://hdl.handle.net/20.500.11840/pi1028
4,3,https://hdl.handle.net/20.500.11840/pi1029
12,1,https://hdl.handle.net/20.500.11840/pi103
1,1,https://hdl.handle.net/20.500.11840/pi1031
12,10,https://hdl.handle.net/20.500.11840/pi1032
24,6,https://hdl.handle.net/20.500.11840/pi1034
4,2,https://hdl.handle.net/20.500.11840/pi1035
8,5,https://hdl.handle.net/20.500.11840/pi1037
1,1,https://hdl.handle.net/20.500.11840/pi1040
3,2,https://hdl.handle.net/20.500.11840/pi1041
4,1,https://hdl.handle.net/20.500.11840/pi1043
1,1,https://hdl.handle.net/20.500.11840/pi1045
394,69,https://hdl.handle.net/20.500.11840/pi1049
35,2,https://hdl.handle.net/20.500.11840/pi105
21,11,https://hdl.handle.net/20.500.11840/pi1050
2,1,https://hdl.handle.net/20.500.11840/pi1051
4045,125,https://hdl.handle.net/20.500.11840/pi1054
1,1,https://hdl.handle.net/20.500.11840/pi1055
2,2,https://hdl.handle.net/20.500.11840/pi1056
13,7,https://hdl.handle.net/20.500.11840/pi1057
2,1,https://hdl.handle.net/20.500.11840/pi1058
2,2,https://hdl.handle.net/20.500.11840/pi106
1,2,https://hdl.handle.net/20.500.11840/pi1063
163,7,https://hdl.handle.net/20.500.11840/pi1064
1,1,https://hdl.handle.net/20.500.11840/pi1065
19,6,https://hdl.handle.net/20.500.11840/pi1067
2,1,https://hdl.handle.net/20.500.11840/pi1068
39,3,https://hdl.handle.net/20.500.11840/pi1069
1,1,https://hdl.handle.net/20.500.11840/pi1072
15,2,https://hdl.handle.net/20.500.11840/pi1076
2,2,https://hdl.handle.net/20.500.11840/pi1079
1,1,https://hdl.handle.net/20.500.11840/pi1081
1,1,https://hdl.handle.net/20.500.11840/pi1085
1,1,https://hdl.handle.net/20.500.11840/pi1087
2,2,https://hdl.handle.net/20.500.11840/pi1088
636,58,https://hdl.handle.net/20.500.11840/pi109
1,1,https://hdl.handle.net/20.500.11840/pi1090
2,1,https://hdl.handle.net/20.500.11840/pi1092
2,1,https://hdl.handle.net/20.500.11840/pi1093
17,2,https://hdl.handle.net/20.500.11840/pi1094
107,11,https://hdl.handle.net/20.500.11840/pi1095
52,2,https://hdl.handle.net/20.500.11840/pi1096
45,2,https://hdl.handle.net/20.500.11840/pi1097
1,1,https://hdl.handle.net/20.500.11840/pi1098
2,2,https://hdl.handle.net/20.500.11840/pi11
12,4,https://hdl.handle.net/20.500.11840/pi110
20,4,https://hdl.handle.net/20.500.11840/pi1100
3,3,https://hdl.handle.net/20.500.11840/pi1102
