histevet_name,histevet_btime,histevet_etime,nmvw_obj
The Northern New Guinea Expedition,1903,1903,https://hdl.handle.net/20.500.11840/190660
Noord Nieuw-Guinea Expeditie,1903,1903,https://hdl.handle.net/20.500.11840/190660
The Northern New Guinea Expedition,1903,1903,https://hdl.handle.net/20.500.11840/215812
Noord Nieuw-Guinea Expeditie,1903,1903,https://hdl.handle.net/20.500.11840/215812
The Northern New Guinea Expedition,1903,1903,https://hdl.handle.net/20.500.11840/13332
Noord Nieuw-Guinea Expeditie,1903,1903,https://hdl.handle.net/20.500.11840/13332
The Northern New Guinea Expedition,1903,1903,https://hdl.handle.net/20.500.11840/224266
Noord Nieuw-Guinea Expeditie,1903,1903,https://hdl.handle.net/20.500.11840/224266
The Northern New Guinea Expedition,1903,1903,https://hdl.handle.net/20.500.11840/224168
Noord Nieuw-Guinea Expeditie,1903,1903,https://hdl.handle.net/20.500.11840/224168
Afronautica Expeditie,1970-02,1970-03,https://hdl.handle.net/20.500.11840/290049
Midden-Oost-Borneo Expeditie 1925,1925,1925,https://hdl.handle.net/20.500.11840/295787
Midden-Oost-Borneo Expeditie 1925,1925,1925,https://hdl.handle.net/20.500.11840/214743
Midden-Oost-Borneo Expeditie 1925,1925,1925,https://hdl.handle.net/20.500.11840/295788
Midden-Oost-Borneo Expeditie 1925,1925,1925,https://hdl.handle.net/20.500.11840/229033
Midden-Oost-Borneo Expeditie 1925,1925,1925,https://hdl.handle.net/20.500.11840/231743
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43865
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43865
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12037
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12037
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12039
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12039
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460003
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460003
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459971
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459971
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43893
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43893
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460028
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460028
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460248
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460248
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43858
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43858
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460252
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460252
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460241
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460241
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460245
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460245
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460250
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460250
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459974
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459974
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460079
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460079
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460280
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460280
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43882
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43882
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460249
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460249
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43907
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43907
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459947
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459947
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/218192
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/218192
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460036
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460036
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460273
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460273
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459980
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459980
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460033
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460033
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460039
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460039
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460020
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460020
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459927
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459927
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459929
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459929
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459931
