 "nmvw_actor1" , "nmvw_actor2" , "nmvw_object" ,
 "https://hdl.handle.net/20.500.11840/pi2246" , "https://hdl.handle.net/20.500.11840/pi3341" , "https://hdl.handle.net/20.500.11840/140235" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22139" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22139" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22199" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22199" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22201" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22201" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22203" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22203" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22203" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22203" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22205" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22205" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22205" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22205" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22207" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22207" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22207" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22207" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22209" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22209" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22211" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22211" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22213" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22213" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22213" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22213" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22217" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22217" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22217" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22217" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22219" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22219" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22219" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22219" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22221" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22221" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22221" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22221" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22225" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22225" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22225" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22225" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22227" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22227" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22229" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22229" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22229" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22229" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22231" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22231" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/22231" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22231" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22233" ,
 "https://hdl.handle.net/20.500.11840/pi2354" , "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/22233" ,
 "https://hdl.handle.net/20.500.11840/pi39586" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/22119" ,
