 "bb_obj" , "bb_actor" , "nmvw_actor" , "b_time" , "e_time" ,
 "https://pressingmatter.nl/Bronbeek/Objects/5148" , "https://pressingmatter.nl/Bronbeek/Constituents/191" , "https://hdl.handle.net/20.500.11840/pi1064" , "1898-08-01" , "1898-08-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/5149" , "https://pressingmatter.nl/Bronbeek/Constituents/191" , "https://hdl.handle.net/20.500.11840/pi1064" , "1898-01-08" , "1898-01-08" ,
 "https://pressingmatter.nl/Bronbeek/Objects/5546" , "https://pressingmatter.nl/Bronbeek/Constituents/1195" , "https://hdl.handle.net/20.500.11840/pi1171" , "1922-10-01" , "1922-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/5698" , "https://pressingmatter.nl/Bronbeek/Constituents/1195" , "https://hdl.handle.net/20.500.11840/pi1171" , "1926-10-07" , "1926-10-07" ,
 "https://pressingmatter.nl/Bronbeek/Objects/5699" , "https://pressingmatter.nl/Bronbeek/Constituents/1195" , "https://hdl.handle.net/20.500.11840/pi1171" , "1926-10-07" , "1926-10-07" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49271" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49272" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49273" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49274" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49275" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49276" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49277" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49278" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49279" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49280" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49281" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49282" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
 "https://pressingmatter.nl/Bronbeek/Objects/49283" , "https://pressingmatter.nl/Bronbeek/Constituents/9471" , "https://hdl.handle.net/20.500.11840/pi1255" , "2008-10-01" , "2008-10-01" ,
